,오늘날짜,기사시점,기사제목,URL
37,2022-06-21_15시08분,6일 전,코로나 항체 100명 중 95명 보유…15%는 자연감염으로 생겨,https://www.hani.co.kr/arti/society/health/1046954.html
38,2022-06-21_15시08분,2022. 4. 4.,"코로나 확진 동거가족, 대면진료를 받다",https://www.korea.kr/special/policyFocusView.do?newsId=148900400&pkgId=49500742
39,2022-06-21_15시08분,2022. 4. 13.,정부 “'코로나 종식' 집단면역 어려워…소규모 유행 반복될 듯”,https://www.korea.kr/special/policyFocusView.do?newsId=148900720&pkgId=49500742
40,2022-06-21_15시08분,2022. 2. 15.,"미국, 한국을 '코로나19 여행 금지국'에 포함했다",https://www.hani.co.kr/arti/international/international_general/1031112.html
41,2022-06-21_15시08분,1개월 전,"코로나19 자가격리자, 분리고사실 운영을 통해 기말고사 응시 가능",https://m.korea.kr/news/pressReleaseView.do?newsId=156508215
42,2022-06-21_15시08분,2주 전,코로나19 신규확진 9898명…위중증 6일 연속 100명대,https://m.dongascience.com/news.php?idx=54680
43,2022-06-21_15시08분,2022. 1. 28.,조세호 돌파감염…방송가 코로나19 확산 우려 커져,https://www.yna.co.kr/view/AKR20220128163800005
44,2022-06-21_15시08분,2022. 4. 1.,"국립보건연구원, 국내 첫 코로나19 백신임상 검체 분석 완료",https://www.korea.kr/special/policyFocusView.do?newsId=148900401&pkgId=49500742
45,2022-06-21_15시08분,2022. 3. 16.,"김 총리 “'1급' 감염병 코로나19, 변화 상황에 맞게 조정 논의”",https://www.korea.kr/special/policyFocusView.do?newsId=148899885&pkgId=49500742
46,2022-06-21_15시08분,6일 전,코로나19 확진자 9435명 엿새째 1만명 아래…해외유입 96일만 ...,https://m.dongascience.com/news.php?idx=54876
47,2022-06-21_15시08분,3주 전,"코로나19 재택치료 집중관리군, 대면진료 위주로 전환",https://www.docdocdoc.co.kr/news/articleView.html?idxno=2023601
48,2022-06-21_15시08분,2022. 3. 31.,피로·호흡곤란·건망증…코로나 확진자 1000명 대상 후유증 조사,https://www.korea.kr/special/policyFocusView.do?newsId=148900384&pkgId=49500742
49,2022-06-21_15시08분,2022. 4. 8.,김 총리 “코로나 감소세 확실…감염병 등급조정 늦지 않게 결론”,https://www.korea.kr/special/policyFocusView.do?newsId=148900576&pkgId=49500742
50,2022-06-21_15시08분,1개월 전,"美-EU 코로나19 '비상시국' 벗어났다…""종식 아직 아냐""",https://m.dongascience.com/news.php?idx=53921
51,2022-06-21_15시08분,1개월 전,"중국 콕 집은 WHO, 제로 코로나 공개 비판…“지속 불가능”",https://www.hani.co.kr/arti/international/international_general/1042371.html
52,2022-06-21_15시08분,2022. 1. 24.,"""코로나19 풍토병으로 바뀌고 있다"" 미국·유럽서 낙관론 '솔솔'",https://m.dongascience.com/news.php?idx=51888
53,2022-06-21_15시08분,2주 전,북한 '코로나19 과학적으로 통제'...WHO '도움 요청했다',https://www.bbc.com/korean/news-61688687
54,2022-06-21_15시08분,2022. 1. 11.,2021년 코로나19 국민 정신건강 실태조사 분기별 결과 발표,https://www.korea.kr/news/pressReleaseView.do?newsId=156490972
55,2022-06-21_15시08분,1개월 전,코로나 고위험군 '패스트트랙'…하루 안에 검사·처방 받는다,https://www.korea.kr/special/policyFocusView.do?newsId=148901526&pkgId=49500742&pWise=sub&pWiseSub=B13
56,2022-06-21_15시08분,2022. 4. 1.,코로나19: '롱코비드' 후유증은 무엇인가,https://www.bbc.com/korean/60936699
57,2022-06-21_15시08분,2022. 1. 20.,코로나19: '일부러 코로나 감염' 체코 유명 포크송 가수 사망,https://www.bbc.com/korean/international-60063962
58,2022-06-21_15시08분,2022. 2. 4.,"송영길, 코로나19 확진 판정…민주당 선대위 비상 : 정치일반 ...",https://www.hani.co.kr/arti/politics/politics_general/1029737.html
59,2022-06-21_15시08분,1개월 전,"美, 올 하반기 코로나19 1억명 확진 '우려'",https://m.dongascience.com/news.php?idx=54111
60,2022-06-21_15시08분,2022. 1. 31.,방탄소년단 지민 코로나19 확진…맹장염 수술도 받아,https://www.yna.co.kr/view/AKR20220131039000005
61,2022-06-21_15시08분,2주 전,북한 코로나 의심환자수 400만 명 육박,https://imnews.imbc.com/news/2022/politics/article/6375464_35666.html
62,2022-06-21_15시08분,1개월 전,"코로나19 생활지원비, '정부24'에서 온라인 신청 가능",https://www.korea.kr/news/policyNewsView.do?newsId=148901560
63,2022-06-21_15시08분,2주 전,코로나19 확진자 1만2161명 발생…이틀 연속 1만 명대,https://m.dongascience.com/news.php?idx=54794
64,2022-06-21_15시08분,2022. 2. 9.,'하루 5만명 등' 위기 땐 코로나 환자도 일반병동 간다,https://www.hani.co.kr/arti/society/health/1030412.html
65,2022-06-21_15시08분,1개월 전,"코로나19 백신 4차 접종, 과연 얼마나 효과 있을까?",https://www.bbc.com/korean/international-61408333
66,2022-06-21_15시08분,2022. 2. 6.,코로나 확진 10대 첫 사망…재택치료 끝난 뒤 폐혈관 막혀,https://www.hani.co.kr/arti/society/society_general/1029921.html
67,2022-06-21_15시08분,2022. 3. 15.,코로나19 이후 “사람 못 믿어”…대인신뢰도 역대 최저치,https://www.hani.co.kr/arti/economy/economy_general/1034880.html
68,2022-06-21_15시08분,1개월 전,코로나19 이후 신체활동 줄고 우울감·스트레스 늘었다,https://m.korea.kr/news/policyNewsView.do?newsId=148901125
69,2022-06-21_15시08분,1개월 전,WHO “북한 내 코로나 급속 확산 우려”…전문가들 “열악한 보건 체계로 상황 훨씬 심각할 것”,https://www.voakorea.com/a/6575961.html
70,2022-06-21_15시08분,2022. 2. 9.,"세계 코로나 확진 4억명, 한달새 1억명↑…사망 578만명",https://www.hani.co.kr/arti/international/international_general/1030347.html
71,2022-06-21_15시08분,1일 전,"미국 CDC, 6개월~5세 미만 코로나 백신 접종 승인",https://www.voakorea.com/a/6623732.html
72,2022-06-21_15시08분,1개월 전,"코로나 중증 후유증 '두뇌 20년 노화, IQ -10' 맞먹는다",https://m.hani.co.kr/arti/society/health/1041583.html
73,2022-06-21_15시08분,2022. 2. 17.,코로나19: 1만 명 '병상대기'하는 홍콩... 시진핑 '모든 인력 총동원' 이례적 지시,https://www.bbc.com/korean/international-60413859
74,2022-06-21_15시08분,1개월 전,코로나19 확진자 4만3925명 늘어…86일만에 사망자 20명대,https://m.dongascience.com/news.php?idx=54167
75,2022-06-21_15시08분,5일 전,"코로나19 신규 확진자 7994명 1주일 연속 1만명 아래…""이달 말 ...",https://www.dongascience.com/news.php?idx=54896
76,2022-06-21_15시08분,2022. 1. 11.,코로나19: 영국 연구진 '일반 감기로도 일부 면역 생길 수 있다',https://www.bbc.com/korean/international-59949881
77,2022-06-21_15시08분,2022. 4. 6.,코로나 3주째 감소세…미주·유럽 등 국제선 주간 100회씩 증편,https://m.korea.kr/news/policyNewsView.do?newsId=148900494
78,2022-06-21_15시08분,1개월 전,"코로나19 확진자, 백신 1번만 맞아도 면역 형성",https://www.docdocdoc.co.kr/news/articleView.html?idxno=2022773
79,2022-06-21_15시08분,2022. 3. 21.,중국 코로나19 확진자 급속 확산…선전·창춘·지린 등 대도시에 ...,https://m.dongascience.com/news.php?idx=53087
80,2022-06-21_15시08분,2022. 3. 13.,제주서 12개월 영아 코로나로 숨져…제주 첫 미성년자 사망,https://www.hani.co.kr/arti/area/jeju/1034608.html
81,2022-06-21_15시08분,2022. 2. 3.,"[World Now] 영국서 코로나19 고의로 감염시켜보니‥""절반 감염, 이틀 만에 증상""",https://imnews.imbc.com/news/2022/world/article/6338226_35680.html
82,2022-06-21_15시08분,1개월 전,"국내 코로나 2회 감염자 5만5841명, 3회 감염자 65명",https://m.dongascience.com/news.php?idx=53862
83,2022-06-21_15시08분,2022. 3. 8.,"""코로나19 중환자, 격리해제 후 치료비도 정부가 지원해야”",https://www.docdocdoc.co.kr/news/articleView.html?idxno=2020547
84,2022-06-21_15시08분,2022. 4. 7.,안철수 인수위원장 “백신 이상반응 국가책임제 실현할 것 ...,https://m.dongascience.com/news.php?idx=53530
85,2022-06-21_15시08분,2주 전,코로나19 신규 확진 1만3358명...사망 6명 8개월만에 최저,https://m.dongascience.com/news.php?idx=54772
86,2022-06-21_15시08분,4주 전,"코로나 위험도, 처음으로 전국·수도권·비수도권 모두 '낮음'",https://www.korea.kr/special/policyFocusView.do?newsId=148901926&pkgId=49500742
87,2022-06-21_15시08분,2022. 2. 5.,미국 코로나 사망자 90만 명 넘어,https://www.voakorea.com/a/6427887.html
88,2022-06-21_15시08분,1개월 전,22일 일상회복 완충기간 끝나는데…감소세는 둔화·컨트롤타워 ...,https://m.dongascience.com/news.php?idx=54225
89,2022-06-21_15시08분,2022. 4. 4.,코로나19 변이 15분만에 구분하는 진단키트 개발,https://m.dongascience.com/news.php?idx=53450
90,2022-06-21_15시08분,2022. 1. 27.,"동네의원이 코로나19 검사·진료 담당…醫, 통합모델 제안",https://www.docdocdoc.co.kr/news/articleView.html?idxno=2019233
91,2022-06-21_15시08분,2022. 2. 7.,"SNL코리아, 5명 코로나19 확진…방송가 연쇄감염에 긴장",https://www.yna.co.kr/view/AKR20220207147600005
92,2022-06-21_15시08분,2022. 3. 30.,코로나19: '스텔스 오미크론' BA.2는 무엇인가,https://www.bbc.com/korean/60900150
93,2022-06-21_15시08분,2022. 2. 27.,"""코로나, '이곳'에서 시작된 게 분명""…국제 연구팀의 보고서",https://www.hankyung.com/international/article/2022022719397
94,2022-06-21_15시08분,2022. 3. 31.,"WSJ “한국, 코로나19 풍토병되는 첫 국가 될 수도”",https://news.kbs.co.kr/news/view.do?ncd=5428849
95,2022-06-21_15시08분,1개월 전,코로나 위험도 '심각' 인식 역대최저…실외마스크 해제엔 '중립 ...,https://www.hani.co.kr/arti/society/health/1043012.html
96,2022-06-21_15시08분,2022. 1. 4.,비타민 D 부족하면 코로나19 더 잘 걸리고 더 아프다,https://www.docdocdoc.co.kr/news/articleView.html?idxno=2018432
97,2022-06-21_15시08분,2022. 3. 18.,"중국 코로나 신규확진 2432명 전방위 확산…시진핑 ""코로나 ...",https://m.dongascience.com/news.php?idx=53059
98,2022-06-21_15시08분,2022. 4. 4.,코로나 환자 84% '이런 후유증' 겪는다 - 당신의 건강가이드 헬스 ...,https://health.chosun.com/site/data/html_dir/2022/04/04/2022040401518.html
99,2022-06-21_15시08분,2022. 3. 8.,코로나19 경증 환자도 뇌 기능 손상 입어,https://www.docdocdoc.co.kr/news/articleView.html?idxno=2020537
